username;password;firstname;lastname;email
mentor1;123456;Ady;Microsoft Productivity;user1@email.com
mentor2;123456;Fredy;Microsoft Productivity;user2@email.com
mentor3;123456;Bubi;Cloud Fundamental;user3@email.com
mentor4;123456;Ela;Cloud Fundamental;user4@email.com
mentor5;123456;Erni;Data AI;user5@email.com
mentor6;123456;Emma;Data AI;user6@email.com
user1;123456;Jojon;Microsoft Productivity;user7@email.com
user2;123456;Budi;Microsoft Productivity;user8@email.com
user3;123456;Barong;Microsoft Productivity;user9@email.com
user4;123456;Yosua;Microsoft Productivity;user10@email.com
user5;123456;Sulaiman;Microsoft Productivity;user11@email.com
user6;123456;Zero;Microsoft Productivity;user12@email.com
user7;123456;Steven;Microsoft Productivity;user13@email.com
user8;123456;Stesi;Microsoft Productivity;user14@email.com
user9;123456;Sella;Cloud Fundamental;user15@email.com
user10;123456;Surmi;Cloud Fundamental;user16@email.com
user11;123456;Parmi;Cloud Fundamental;user17@email.com
user12;123456;Baeby;Cloud Fundamental;user18@email.com
user13;123456;Ruri;Cloud Fundamental;user19@email.com
user14;123456;Selly;Cloud Fundamental;user20@email.com
user15;123456;Surti;Cloud Fundamental;user21@email.com
user16;123456;John;Cloud Fundamental;user22@email.com
user17;123456;Jeremy;Data AI;user23@email.com
user18;123456;Gilang;Data AI;user24@email.com
user19;123456;Prawiro;Data AI;user25@email.com
user20;123456;Gagan;Data AI;user26@email.com
user21;123456;Sri;Data AI;user27@email.com
user22;123456;Rosa;Data AI;user28@email.com
user23;123456;Andy;Data AI;user29@email.com
user24;123456;Adrian;Data AI;user30@email.com
